amount,payment_method,failure_reason,attempt_count,days_since_failure,day_of_month,hour_of_day,previous_successes,previous_failures,previous_recovery_success,is_subscription,recovery_succeeded
8281.94,card,network_timeout,1,6.8,20,21,4,2,False,1,0
3190.77,upi,card_expired,3,3.6,26,11,5,2,True,0,0
1481.51,upi,bank_outage,1,0.1,16,12,15,1,False,0,1
2786.4,upi,authentication_failed,1,4.0,20,8,10,1,False,1,1
15409.73,upi,authentication_failed,2,0.7,15,13,7,1,False,0,1
4272.48,upi,network_timeout,1,0.5,8,15,6,1,True,0,1
1718.27,upi,network_timeout,1,4.4,8,13,9,0,False,0,1
2344.85,card,authentication_failed,1,1.1,24,17,7,0,False,1,1
3703.53,card,insufficient_funds,1,1.9,1,11,4,0,True,0,1
1670.74,upi,insufficient_funds,1,1.9,27,15,12,3,False,0,1
1542.89,upi,high_risk_fraud,1,0.5,26,9,16,0,True,0,0
2415.86,upi,card_expired,1,1.9,24,20,8,2,True,0,1
9577.59,upi,insufficient_funds,1,2.2,24,17,4,1,True,1,0
4973.5,upi,card_expired,1,4.7,27,10,9,1,False,0,0
1688.21,upi,bank_outage,1,3.4,4,7,2,0,False,0,1
5335.36,upi,network_timeout,1,0.1,16,9,4,1,True,1,1
2459.51,card,network_timeout,1,3.2,17,8,7,1,True,0,1
3328.01,card,insufficient_funds,1,2.9,16,17,6,0,True,1,1
3066.41,card,card_expired,2,2.8,11,0,2,2,False,0,0
365.32,card,insufficient_funds,1,4.1,27,10,7,2,True,0,1
157.17,card,authentication_failed,1,1.1,4,12,7,1,True,0,1
2992.78,netbanking,insufficient_funds,1,1.6,12,2,6,0,True,0,1
1132.77,card,bank_outage,1,2.1,15,10,6,0,True,0,1
558.17,card,bank_outage,2,3.4,6,18,2,0,False,0,1
1164.67,card,bank_outage,2,3.2,1,19,3,1,False,0,1
5609.28,card,bank_outage,1,0.7,26,13,7,0,False,1,1
3367.89,upi,network_timeout,1,1.3,15,17,0,1,False,0,1
4888.23,upi,bank_outage,1,4.9,2,19,7,2,True,1,1
3669.41,upi,insufficient_funds,2,3.1,5,7,2,1,False,0,1
1067.47,upi,card_expired,4,0.9,9,18,9,1,False,0,1
4909.32,card,card_expired,2,2.0,11,18,3,1,False,1,1
4134.68,netbanking,insufficient_funds,1,0.7,9,17,4,1,True,0,0
2195.72,card,network_timeout,1,1.9,12,12,6,0,True,0,1
2573.33,card,insufficient_funds,1,1.2,8,13,3,0,False,1,1
4980.17,card,network_timeout,1,1.8,3,9,11,2,True,0,1
1243.26,upi,insufficient_funds,3,4.5,31,17,3,1,False,0,1
6496.99,upi,network_timeout,1,0.1,20,17,5,1,False,0,1
4058.56,card,insufficient_funds,4,1.9,7,15,15,2,True,0,1
2445.57,upi,card_expired,1,1.1,16,18,10,1,True,0,1
9682.86,card,insufficient_funds,1,2.0,13,7,3,0,False,0,1
761.36,upi,bank_outage,2,5.2,21,13,6,0,False,1,1
1612.97,card,insufficient_funds,1,0.7,16,11,0,0,False,0,1
1320.78,card,network_timeout,1,4.4,26,15,3,0,False,0,1
3368.7,card,bank_outage,1,1.2,5,1,12,2,False,1,1
7073.93,upi,high_risk_fraud,1,0.1,11,10,10,1,True,0,1
1007.55,card,network_timeout,1,7.9,18,7,3,0,False,0,1
47808.0,card,bank_outage,5,5.3,16,12,9,2,False,1,0
1344.15,card,network_timeout,2,4.1,12,20,5,2,True,0,1
3376.57,subscription_mandate,insufficient_funds,2,8.2,25,4,15,0,False,1,0
2446.51,subscription_mandate,bank_outage,1,3.1,12,20,4,0,False,1,1
2544.12,upi,card_expired,1,0.6,11,17,13,0,True,0,1
1196.11,card,network_timeout,2,6.1,15,19,4,1,True,0,1
6379.16,subscription_mandate,insufficient_funds,1,1.2,18,18,10,1,False,1,0
1131.69,upi,card_expired,1,1.6,6,12,9,0,True,0,1
496.69,upi,bank_outage,1,1.3,18,12,9,0,True,0,1
889.09,card,card_expired,1,2.3,8,1,4,0,True,0,0
8962.32,card,insufficient_funds,1,0.1,9,13,7,0,False,0,1
7520.77,card,card_expired,1,1.0,20,13,2,2,False,0,1
400.81,subscription_mandate,network_timeout,2,3.8,17,17,16,0,False,1,1
5076.39,upi,insufficient_funds,1,1.4,29,14,9,0,True,1,1
410.04,card,card_expired,1,4.1,8,10,15,1,False,0,1
2381.52,card,high_risk_fraud,1,1.3,16,10,6,1,False,0,0
823.06,upi,authentication_failed,2,1.4,5,18,8,0,True,0,0
5440.92,card,insufficient_funds,1,1.7,12,13,8,0,True,0,1
4020.63,netbanking,card_expired,3,5.2,25,7,8,0,True,0,0
5893.59,upi,insufficient_funds,1,0.1,16,18,12,0,True,0,1
1871.1,upi,authentication_failed,1,0.4,27,12,6,0,False,0,1
2054.53,card,card_expired,1,4.6,21,10,4,2,True,0,1
633.13,upi,card_expired,1,11.4,25,8,2,2,False,0,0
965.42,upi,insufficient_funds,1,1.2,4,9,2,2,False,0,1
5731.2,upi,bank_outage,1,5.5,20,5,10,0,False,0,1
3396.63,card,insufficient_funds,1,0.3,28,17,7,0,True,0,1
2680.88,card,network_timeout,1,0.3,3,15,5,0,True,1,1
7599.99,card,card_expired,1,1.2,5,21,10,1,False,0,0
757.39,upi,bank_outage,1,1.7,17,9,14,1,False,0,1
4666.35,card,network_timeout,2,5.3,24,11,5,1,False,0,1
844.51,card,insufficient_funds,2,7.6,30,15,1,1,False,0,1
9228.82,card,insufficient_funds,1,0.1,19,14,5,1,True,0,1
3983.94,upi,card_expired,4,0.5,29,14,8,1,True,0,0
5814.16,card,network_timeout,1,2.3,15,7,9,0,True,0,1
1297.92,subscription_mandate,insufficient_funds,3,0.4,26,2,5,1,True,1,1
17394.14,upi,network_timeout,4,6.0,5,17,3,1,False,0,0
14745.63,card,card_expired,1,0.4,22,17,10,2,False,0,0
3595.15,upi,bank_outage,1,1.3,10,3,0,1,False,0,1
7028.55,card,bank_outage,3,4.3,16,18,8,4,False,0,0
1859.94,subscription_mandate,insufficient_funds,1,1.0,28,18,3,2,False,1,1
779.28,upi,insufficient_funds,1,6.2,14,10,0,1,False,0,1
4995.09,upi,network_timeout,3,11.6,3,14,10,1,False,0,0
1067.02,card,card_expired,1,1.3,19,10,7,1,False,0,0
7936.27,upi,bank_outage,1,0.1,2,18,5,1,True,0,1
6267.12,upi,authentication_failed,1,2.8,15,9,12,1,True,1,1
3016.04,subscription_mandate,insufficient_funds,3,2.7,6,18,5,0,True,1,0
2867.99,upi,card_expired,1,3.1,13,16,0,0,False,0,0
5945.32,upi,card_expired,3,0.2,22,9,9,1,True,0,0
3124.74,card,insufficient_funds,1,6.9,19,19,4,0,True,0,0
1695.93,card,high_risk_fraud,2,0.2,8,18,12,0,True,0,1
624.5,upi,high_risk_fraud,1,0.5,29,15,5,0,False,0,0
5784.92,card,insufficient_funds,1,1.1,6,13,3,1,False,0,0
3394.1,card,authentication_failed,1,1.3,7,15,8,0,True,1,1
29146.62,netbanking,insufficient_funds,1,0.2,21,16,5,0,True,0,1
2238.77,subscription_mandate,high_risk_fraud,1,9.2,5,7,4,1,True,1,0
3202.97,card,network_timeout,2,1.1,31,12,3,0,False,1,1
3271.33,upi,insufficient_funds,1,3.0,5,20,10,0,False,0,1
4383.84,card,bank_outage,2,0.8,12,18,14,1,False,1,1
1022.3,upi,network_timeout,3,1.7,22,7,4,0,False,0,1
2276.75,card,insufficient_funds,2,0.4,24,19,11,0,True,0,1
5140.44,upi,card_expired,2,0.8,27,6,1,0,False,0,0
1808.97,upi,bank_outage,1,2.5,16,16,8,3,True,0,1
4969.97,upi,insufficient_funds,3,0.3,24,11,7,0,True,0,1
2662.56,card,insufficient_funds,2,0.7,21,10,5,2,False,0,0
3504.08,subscription_mandate,insufficient_funds,1,0.8,13,13,15,0,True,1,1
6877.58,card,network_timeout,2,2.5,6,7,1,0,False,0,1
1988.99,card,card_expired,2,6.5,18,21,17,1,True,0,1
660.72,upi,card_expired,2,1.5,25,21,16,2,False,1,1
1920.41,card,insufficient_funds,1,1.6,2,9,7,0,True,0,1
1160.96,netbanking,insufficient_funds,1,0.2,18,21,16,2,True,1,1
360.26,netbanking,bank_outage,3,5.0,15,21,4,1,True,1,1
2217.17,card,insufficient_funds,4,1.4,29,8,11,0,True,1,0
2919.38,subscription_mandate,bank_outage,1,1.6,24,1,8,2,False,1,1
6116.13,card,card_expired,1,1.4,25,13,10,0,True,1,1
875.35,upi,bank_outage,1,2.7,25,11,10,0,False,0,1
2643.01,card,card_expired,2,5.4,12,13,5,1,True,0,1
6736.41,subscription_mandate,network_timeout,1,1.9,19,13,3,1,False,1,1
1455.08,card,insufficient_funds,4,2.5,8,17,8,2,False,0,0
3954.46,card,authentication_failed,1,7.2,26,15,4,1,True,0,1
10279.9,card,insufficient_funds,1,0.4,11,13,11,1,False,1,1
456.61,subscription_mandate,insufficient_funds,1,0.4,11,13,9,0,False,1,1
3119.38,subscription_mandate,bank_outage,1,0.4,25,20,14,1,True,1,1
6950.72,upi,insufficient_funds,1,6.0,3,10,7,1,True,0,1
1779.98,subscription_mandate,card_expired,2,1.6,26,9,5,0,True,1,0
8502.23,subscription_mandate,network_timeout,1,0.0,16,11,10,1,False,1,1
4319.09,upi,network_timeout,1,0.8,1,18,1,1,False,1,1
11997.11,card,bank_outage,1,2.7,31,10,10,1,True,0,1
4122.51,upi,high_risk_fraud,1,3.1,27,16,5,2,True,0,0
12929.73,upi,card_expired,1,2.6,28,11,15,2,True,1,1
3197.1,card,insufficient_funds,1,7.0,28,12,11,1,True,0,1
712.65,card,network_timeout,2,0.9,28,17,3,3,False,0,0
1383.12,upi,insufficient_funds,1,10.2,2,9,6,1,True,0,1
6102.95,card,insufficient_funds,2,2.1,19,15,5,2,True,0,1
5995.84,subscription_mandate,insufficient_funds,1,0.8,17,14,14,1,True,1,0
1845.41,card,insufficient_funds,1,2.0,30,18,0,0,False,0,1
12380.41,card,insufficient_funds,1,1.5,9,20,1,0,False,1,1
1774.78,netbanking,insufficient_funds,1,0.8,18,8,8,2,True,0,1
3698.86,card,bank_outage,1,10.3,8,10,4,0,True,0,1
3607.81,card,network_timeout,3,0.3,14,8,6,0,True,0,1
736.99,upi,authentication_failed,1,1.2,6,23,4,0,True,0,1
2209.58,netbanking,insufficient_funds,1,3.9,21,15,2,0,False,0,0
20791.44,card,insufficient_funds,5,1.1,4,20,7,2,False,0,0
1064.18,card,bank_outage,1,0.2,18,21,7,1,True,0,1
4284.0,upi,insufficient_funds,2,4.4,21,20,2,2,False,0,1
863.55,subscription_mandate,card_expired,2,1.5,22,10,6,0,True,1,1
1054.24,upi,bank_outage,1,4.2,5,13,5,0,True,0,1
683.44,card,network_timeout,1,1.2,12,10,9,1,False,0,1
5692.84,card,insufficient_funds,2,2.4,13,12,4,1,False,0,1
1114.04,card,bank_outage,1,1.7,31,12,6,0,False,0,1
7636.88,card,bank_outage,1,1.3,8,20,8,2,False,1,1
1512.94,upi,authentication_failed,1,2.8,30,16,4,2,False,0,1
2738.59,card,insufficient_funds,1,4.9,8,17,3,0,False,0,1
3534.2,upi,network_timeout,3,3.9,25,17,6,1,False,1,1
569.53,upi,network_timeout,3,0.6,24,14,3,4,False,0,1
2931.54,upi,insufficient_funds,3,1.4,2,11,2,1,False,0,0
3343.95,card,bank_outage,1,1.8,19,18,3,2,False,0,1
6809.1,netbanking,bank_outage,4,0.7,9,11,13,1,True,0,1
1029.11,upi,insufficient_funds,2,0.2,2,13,6,1,False,1,1
1169.91,upi,card_expired,1,2.4,29,9,8,0,True,0,1
4418.67,card,card_expired,2,8.4,24,15,4,0,False,0,0
8700.65,card,network_timeout,2,2.2,26,13,13,2,False,0,0
1431.89,subscription_mandate,insufficient_funds,1,3.2,20,19,10,1,True,1,0
802.97,card,card_expired,1,0.7,8,11,6,0,True,0,1
1835.27,card,insufficient_funds,1,7.5,20,11,3,2,False,1,1
980.45,upi,bank_outage,1,6.1,18,8,15,1,False,1,1
3491.21,upi,bank_outage,1,0.1,21,13,10,3,True,1,1
923.48,subscription_mandate,card_expired,1,0.1,1,18,5,0,True,1,1
5858.3,card,card_expired,1,1.2,16,16,5,1,False,1,1
2955.3,subscription_mandate,insufficient_funds,2,1.0,26,7,4,0,True,1,1
6025.1,card,insufficient_funds,2,1.5,14,10,10,1,True,0,1
275.62,upi,network_timeout,1,0.5,16,11,12,2,True,0,1
501.53,upi,insufficient_funds,1,0.5,29,15,9,1,True,0,1
7811.91,card,network_timeout,2,1.1,16,18,4,1,False,0,1
1277.21,card,bank_outage,1,2.9,15,23,2,3,False,0,1
652.14,card,authentication_failed,2,6.6,5,10,6,1,False,1,0
2033.62,subscription_mandate,insufficient_funds,1,4.5,14,9,6,0,False,1,1
3035.44,upi,card_expired,3,0.7,2,12,3,0,False,1,0
2117.07,subscription_mandate,insufficient_funds,1,3.7,26,16,10,2,True,1,1
3719.01,netbanking,authentication_failed,2,0.2,30,17,5,2,False,0,1
3292.0,upi,bank_outage,1,0.3,17,18,10,0,False,0,1
3140.5,upi,bank_outage,1,3.0,23,11,6,1,True,0,1
8213.5,card,network_timeout,1,3.5,19,19,5,1,True,0,1
2409.65,card,insufficient_funds,1,2.3,9,16,9,0,True,0,1
2346.73,netbanking,bank_outage,1,6.5,7,2,4,1,False,0,1
5026.76,upi,network_timeout,1,7.1,1,22,10,0,True,0,1
4013.4,card,insufficient_funds,1,0.5,23,10,16,0,False,0,1
1082.93,upi,high_risk_fraud,1,1.3,20,7,10,0,False,0,0
2246.43,upi,authentication_failed,1,3.0,6,12,6,0,True,0,1
3620.64,netbanking,high_risk_fraud,1,2.6,27,14,0,0,False,0,0
1439.22,upi,network_timeout,1,1.6,2,13,0,1,False,0,1
1502.28,card,insufficient_funds,1,3.0,15,18,7,1,False,1,0
697.63,card,bank_outage,1,0.8,1,8,4,0,False,0,1
182.27,card,insufficient_funds,1,2.1,21,18,3,2,False,1,1
1742.94,upi,network_timeout,1,2.5,15,13,6,2,True,0,1
2736.83,netbanking,insufficient_funds,1,1.6,30,7,7,1,False,0,1
910.62,upi,authentication_failed,1,9.3,20,22,5,2,True,0,1
8434.49,card,insufficient_funds,1,14.0,15,19,6,1,False,0,0
951.43,card,insufficient_funds,2,0.2,14,11,7,3,True,1,0
5548.47,upi,insufficient_funds,2,0.2,26,13,8,1,True,0,1
3557.46,netbanking,network_timeout,1,0.4,26,10,13,2,False,0,1
17304.15,card,insufficient_funds,1,1.9,11,13,8,1,True,0,1
3967.36,card,insufficient_funds,1,0.4,30,10,11,1,False,0,1
664.05,upi,insufficient_funds,1,0.2,1,11,14,1,True,0,1
6303.94,card,insufficient_funds,2,0.2,27,10,14,0,False,0,1
11246.63,netbanking,authentication_failed,2,2.5,27,12,8,0,False,0,1
495.22,card,card_expired,1,3.1,12,6,11,0,False,0,1
4338.21,card,insufficient_funds,2,2.8,30,14,2,0,False,0,1
5293.76,subscription_mandate,insufficient_funds,3,7.2,16,10,5,0,False,1,1
2015.16,card,insufficient_funds,3,3.7,2,9,5,1,True,1,1
275.96,card,card_expired,1,3.1,11,11,6,2,True,1,0
1869.9,card,insufficient_funds,3,8.0,21,17,17,0,True,1,0
1446.7,card,insufficient_funds,1,4.7,16,11,8,0,True,0,0
9670.14,card,insufficient_funds,1,0.0,22,17,3,0,False,1,1
2253.56,card,insufficient_funds,1,1.5,27,22,14,0,False,0,0
1683.99,card,network_timeout,1,6.2,27,21,1,0,False,1,1
1439.63,card,insufficient_funds,1,0.7,20,10,6,2,True,1,1
3272.05,upi,bank_outage,1,0.6,21,20,14,1,False,0,1
2568.77,upi,bank_outage,2,3.3,6,19,2,1,False,1,1
1198.77,card,authentication_failed,1,4.9,26,2,6,0,True,1,1
3095.23,card,insufficient_funds,2,1.5,18,21,30,0,True,0,1
1478.04,upi,network_timeout,1,3.5,23,21,3,0,False,0,1
236.74,netbanking,authentication_failed,1,1.0,14,17,15,0,False,0,1
4452.5,netbanking,high_risk_fraud,1,2.2,12,15,8,1,False,0,0
4088.22,card,network_timeout,2,1.6,23,22,3,2,False,0,1
2921.25,card,insufficient_funds,1,1.6,5,9,11,0,False,0,1
1638.9,card,authentication_failed,4,3.0,7,18,15,0,True,0,0
2287.34,card,network_timeout,1,2.1,28,20,1,3,False,0,1
5101.83,upi,insufficient_funds,2,5.8,15,13,11,0,True,0,1
1382.11,card,insufficient_funds,1,6.7,30,10,14,1,False,0,1
5290.57,card,authentication_failed,2,3.1,17,12,4,1,True,0,1
647.19,card,insufficient_funds,2,6.9,1,22,8,1,True,0,1
2839.4,upi,network_timeout,2,0.4,21,17,9,1,True,1,1
2497.84,card,card_expired,1,7.8,22,14,3,1,False,1,0
6017.44,netbanking,network_timeout,1,1.3,26,8,17,1,False,0,1
1067.38,card,insufficient_funds,1,0.0,4,16,13,1,False,0,1
1177.53,subscription_mandate,network_timeout,4,1.5,18,10,11,0,True,1,1
695.73,card,card_expired,1,2.6,22,22,16,2,True,0,0
1465.48,netbanking,authentication_failed,1,2.4,3,13,4,0,True,0,1
3071.36,subscription_mandate,insufficient_funds,1,0.4,7,15,15,0,True,1,1
483.93,subscription_mandate,insufficient_funds,1,2.8,27,23,1,2,False,1,1
1638.24,netbanking,insufficient_funds,3,2.0,31,17,7,2,False,0,1
4228.96,upi,insufficient_funds,2,1.5,7,13,4,0,True,1,1
2224.77,upi,high_risk_fraud,1,0.7,24,14,5,0,True,1,0
2611.51,upi,insufficient_funds,2,1.4,19,20,5,0,True,0,0
629.24,card,insufficient_funds,3,3.0,22,20,8,0,True,1,1
2230.45,upi,network_timeout,2,0.5,21,13,9,1,True,0,0
2504.43,upi,insufficient_funds,1,2.7,7,11,8,0,False,0,1
2106.2,netbanking,insufficient_funds,2,3.3,1,18,14,1,True,0,1
2800.41,upi,bank_outage,2,1.2,8,9,9,1,False,0,1
1847.87,card,card_expired,3,3.2,10,12,2,0,False,1,0
1619.0,upi,network_timeout,2,1.8,18,2,8,1,True,0,0
957.39,card,bank_outage,1,0.7,13,18,9,1,True,1,1
5866.51,card,insufficient_funds,1,2.2,5,5,2,0,False,1,1
809.17,upi,bank_outage,1,1.1,31,14,5,0,True,1,1
2813.41,card,authentication_failed,1,3.7,10,23,13,0,False,0,1
12479.93,card,card_expired,2,5.2,15,11,8,4,False,1,0
6576.72,card,network_timeout,5,0.1,29,18,3,0,False,0,1
3860.02,card,card_expired,1,2.0,20,8,3,1,False,0,0
3055.71,card,card_expired,1,0.1,15,8,5,1,True,0,1
2175.48,card,network_timeout,2,1.1,4,10,8,0,True,0,1
1084.4,upi,insufficient_funds,1,0.1,11,18,3,0,False,0,1
1942.15,card,card_expired,1,0.6,31,15,6,0,True,0,1
4094.45,subscription_mandate,insufficient_funds,2,8.8,27,18,8,0,False,1,1
3465.95,subscription_mandate,network_timeout,1,1.4,12,10,6,0,False,1,1
4963.42,upi,bank_outage,2,1.4,21,9,6,3,True,0,1
7315.16,card,insufficient_funds,2,1.6,8,14,10,0,True,1,0
2116.22,upi,insufficient_funds,2,0.4,14,3,15,0,True,1,1
2900.58,netbanking,authentication_failed,1,3.8,18,13,2,0,False,0,1
441.79,upi,insufficient_funds,1,0.8,24,21,6,0,True,1,1
18593.7,netbanking,insufficient_funds,1,8.5,13,16,3,2,False,0,1
1681.66,upi,insufficient_funds,1,1.2,7,13,1,1,False,0,1
4387.54,upi,bank_outage,1,0.7,9,9,6,2,True,0,1
1680.63,card,insufficient_funds,2,1.7,4,12,4,1,True,0,1
1645.88,upi,network_timeout,1,0.9,12,14,2,0,False,0,1
1971.79,card,bank_outage,2,0.6,9,13,9,0,True,0,1
795.84,upi,insufficient_funds,2,5.5,31,14,3,0,False,0,1
261.86,netbanking,bank_outage,1,1.4,10,21,4,1,True,1,1
6930.73,card,insufficient_funds,1,4.7,21,9,12,1,True,0,1
3988.35,upi,insufficient_funds,1,0.3,28,12,12,2,True,0,1
1070.34,card,bank_outage,2,0.5,4,8,20,0,True,0,1
3665.5,upi,insufficient_funds,1,2.5,31,12,10,1,True,0,1
5123.23,card,authentication_failed,1,0.3,19,7,7,1,False,0,1
1308.04,subscription_mandate,bank_outage,2,0.0,2,11,5,2,True,1,1
3535.69,card,insufficient_funds,1,0.6,1,12,1,2,False,0,1
6039.78,subscription_mandate,high_risk_fraud,1,4.7,28,17,1,0,False,1,0
668.8,netbanking,card_expired,1,5.2,15,20,20,1,False,0,0
3944.47,upi,insufficient_funds,1,3.3,26,13,6,1,False,1,1
3387.84,upi,card_expired,2,0.1,8,18,3,0,False,0,1
13258.65,upi,high_risk_fraud,2,1.3,6,12,7,0,True,0,0
4029.23,subscription_mandate,card_expired,1,5.8,27,10,6,0,True,1,1
1686.16,card,card_expired,2,4.0,15,8,2,1,False,0,0
1871.19,upi,card_expired,1,5.1,3,12,8,1,True,1,0
15078.94,card,insufficient_funds,1,0.5,16,17,5,1,False,0,1
1773.37,upi,insufficient_funds,2,7.6,9,15,9,0,True,1,1
4136.19,card,bank_outage,1,0.2,7,10,5,0,True,0,1
1969.35,upi,authentication_failed,2,1.7,21,17,15,0,False,1,1
6458.39,upi,network_timeout,1,2.0,12,7,5,1,False,0,1
6752.06,upi,insufficient_funds,1,0.2,9,9,2,2,False,1,1
2391.32,upi,card_expired,1,5.0,5,9,0,1,False,1,0
1692.42,upi,insufficient_funds,2,3.6,26,16,3,1,False,0,0
1656.48,upi,insufficient_funds,1,2.0,18,10,2,0,False,0,0
515.67,upi,bank_outage,2,6.6,29,19,3,0,False,0,1
2671.79,upi,insufficient_funds,1,2.4,11,7,5,2,True,0,1
2623.74,subscription_mandate,network_timeout,1,1.7,1,20,0,1,False,1,1
1170.85,card,card_expired,2,4.2,15,0,7,0,True,1,1
468.09,card,bank_outage,1,0.8,11,20,16,0,True,0,1
2938.51,card,authentication_failed,1,2.1,16,8,22,2,False,1,1
3292.36,upi,bank_outage,1,2.0,16,2,9,1,False,0,1
3481.37,card,authentication_failed,1,1.6,17,10,8,0,False,0,0
1001.3,upi,network_timeout,2,0.1,25,11,1,0,False,0,1
3488.04,upi,bank_outage,2,1.6,6,17,15,1,True,0,1
2078.24,card,insufficient_funds,1,0.2,31,20,4,0,False,0,1
5313.68,subscription_mandate,insufficient_funds,2,5.1,1,11,2,0,False,1,1
1015.02,upi,authentication_failed,1,0.9,17,10,4,2,True,0,1
6871.81,card,insufficient_funds,2,0.2,18,10,2,1,False,1,1
9499.44,card,authentication_failed,2,0.6,25,19,11,1,True,1,1
2709.37,card,insufficient_funds,3,2.3,10,5,15,1,False,0,0
3509.77,card,network_timeout,2,4.7,22,12,28,1,True,0,0
4941.89,card,insufficient_funds,2,1.6,3,10,14,2,True,0,1
969.59,subscription_mandate,high_risk_fraud,4,0.2,14,11,1,1,False,1,0
1575.55,card,insufficient_funds,2,0.0,12,10,11,0,True,0,1
2880.74,card,card_expired,2,1.6,30,18,5,1,True,0,0
15126.52,upi,authentication_failed,1,2.9,31,10,2,1,False,0,0
831.73,upi,insufficient_funds,2,0.8,28,20,16,0,False,0,1
10656.79,subscription_mandate,insufficient_funds,2,0.4,20,17,5,1,True,1,1
2051.03,upi,authentication_failed,4,1.7,2,10,3,3,False,0,0
2366.12,upi,network_timeout,2,0.2,23,6,1,0,False,0,0
7304.46,card,insufficient_funds,1,5.0,7,9,6,0,True,1,1
15052.58,subscription_mandate,bank_outage,1,7.3,27,13,6,0,True,1,1
3570.86,upi,insufficient_funds,1,2.6,12,18,3,0,False,0,1
6962.35,subscription_mandate,insufficient_funds,1,0.0,21,11,15,0,True,1,1
1066.06,card,bank_outage,2,2.3,18,12,3,1,False,0,1
1515.47,netbanking,insufficient_funds,1,1.8,14,20,2,0,False,0,0
722.56,upi,card_expired,1,1.0,20,12,10,0,False,0,0
1534.52,card,insufficient_funds,1,5.3,27,9,7,0,True,0,1
4059.08,upi,authentication_failed,2,1.2,23,9,4,0,True,0,1
2954.05,upi,bank_outage,1,0.8,10,19,7,1,False,0,1
11549.44,card,insufficient_funds,1,0.1,6,13,1,1,False,0,1
15509.99,upi,authentication_failed,1,3.9,8,18,8,0,True,1,1
