amount,payment_method,failure_reason,attempt_count,days_since_failure,day_of_month,hour_of_day,previous_successes,previous_failures,previous_recovery_success,is_subscription,recovery_succeeded
2226.79,card,network_timeout,1,1.2,30,18,3,0,False,0,1
1789.87,subscription_mandate,bank_outage,3,0.4,5,17,7,1,True,1,1
10899.1,upi,card_expired,1,0.6,26,16,14,0,True,0,1
2621.02,subscription_mandate,card_expired,1,1.3,4,14,3,0,False,1,1
6280.47,upi,insufficient_funds,1,0.1,22,7,4,1,True,0,0
606.86,netbanking,insufficient_funds,1,5.1,22,11,26,2,True,0,1
2791.59,card,insufficient_funds,1,4.4,12,18,21,0,True,0,0
1038.69,card,card_expired,1,3.4,2,3,7,1,True,0,0
900.99,card,bank_outage,1,0.8,14,18,2,1,False,0,1
555.42,subscription_mandate,insufficient_funds,4,7.8,29,18,9,1,False,1,0
5140.44,upi,card_expired,2,0.8,27,6,1,0,False,0,0
2284.54,card,card_expired,4,3.3,3,14,4,4,False,0,0
2483.75,card,bank_outage,2,2.4,24,11,5,1,True,1,1
1373.7,card,card_expired,1,5.1,30,18,15,0,False,0,0
2728.75,card,card_expired,4,1.7,15,18,4,0,False,1,0
2616.79,upi,network_timeout,3,3.9,20,20,8,1,True,0,1
945.14,card,authentication_failed,2,3.5,19,17,8,2,False,0,1
3551.48,upi,insufficient_funds,3,5.5,13,15,2,0,False,0,1
2697.75,subscription_mandate,insufficient_funds,1,3.3,22,19,2,0,False,1,1
2005.02,card,authentication_failed,1,1.3,21,15,6,1,True,0,1
10502.12,upi,bank_outage,1,14.0,2,13,2,1,False,0,0
625.42,card,bank_outage,1,0.1,4,20,6,0,True,1,1
904.82,card,authentication_failed,2,5.7,1,18,4,1,False,0,0
2992.96,card,network_timeout,1,0.6,19,14,8,0,True,0,1
2713.26,upi,authentication_failed,1,5.8,24,8,5,0,True,0,1
4820.8,card,insufficient_funds,2,0.0,10,22,12,1,True,0,0
726.77,subscription_mandate,insufficient_funds,1,1.0,2,9,6,0,False,1,1
6231.13,upi,bank_outage,2,2.2,31,12,13,0,True,1,1
3488.66,card,insufficient_funds,3,4.6,25,9,4,1,False,0,1
2078.07,card,card_expired,2,0.9,6,14,12,0,True,1,1
6150.15,upi,card_expired,2,0.4,9,20,17,0,False,0,1
467.51,upi,card_expired,4,0.4,3,14,11,1,True,0,1
2513.59,card,card_expired,2,0.7,14,18,5,1,True,0,0
5370.13,upi,bank_outage,2,2.1,19,16,5,1,True,1,1
1339.16,card,insufficient_funds,3,0.2,11,11,9,0,True,1,1
21439.76,upi,insufficient_funds,1,4.7,27,0,5,0,False,1,1
3861.13,card,insufficient_funds,1,2.1,16,15,13,1,True,1,1
11375.29,upi,insufficient_funds,2,0.1,25,16,2,2,False,0,1
655.79,netbanking,authentication_failed,1,7.3,4,19,8,0,True,0,1
1019.71,upi,high_risk_fraud,2,3.8,22,14,2,1,False,0,0
5872.81,upi,bank_outage,1,0.3,23,10,5,1,True,0,1
2138.78,card,insufficient_funds,2,4.9,12,14,2,0,False,0,1
275.47,card,insufficient_funds,4,1.2,8,9,5,1,False,0,0
1641.38,upi,network_timeout,1,2.8,24,19,6,0,False,0,1
747.66,upi,bank_outage,1,4.2,21,12,2,0,False,0,1
2360.8,upi,bank_outage,4,1.6,11,22,7,1,False,0,1
1928.85,upi,bank_outage,3,0.9,11,10,11,2,True,0,1
3340.54,upi,card_expired,2,5.8,31,18,11,1,False,0,0
3264.76,card,bank_outage,2,1.6,26,8,5,3,False,0,1
1470.25,card,network_timeout,1,6.0,28,17,7,0,False,0,1
453.38,netbanking,insufficient_funds,2,2.8,12,19,6,0,True,0,1
3119.37,upi,authentication_failed,1,1.0,27,0,7,0,False,0,1
2667.46,upi,network_timeout,3,0.4,5,3,9,0,True,0,1
14860.94,card,insufficient_funds,3,4.9,1,10,1,0,False,0,1
2013.91,upi,high_risk_fraud,3,4.1,17,16,13,0,True,0,0
15350.2,netbanking,authentication_failed,1,10.5,16,20,9,2,True,0,1
1075.32,card,bank_outage,3,6.5,5,12,3,1,False,0,1
2711.09,upi,insufficient_funds,1,0.7,22,20,3,1,False,1,1
895.74,upi,card_expired,1,3.3,15,13,1,0,False,0,1
3420.62,card,network_timeout,1,0.4,9,6,6,1,False,0,1
1469.3,card,authentication_failed,1,2.9,11,16,4,3,True,0,1
2821.19,upi,bank_outage,1,3.4,13,4,5,0,False,1,1
6678.49,upi,authentication_failed,1,0.6,28,10,23,1,False,1,0
736.23,card,insufficient_funds,1,0.6,14,19,10,1,False,0,0
2727.57,upi,insufficient_funds,4,1.2,7,20,4,2,True,0,0
3593.52,upi,high_risk_fraud,3,1.8,19,14,14,1,False,0,0
1043.18,card,network_timeout,4,0.2,26,13,1,0,False,1,0
1553.41,upi,bank_outage,1,1.7,12,18,5,0,False,0,1
3209.58,upi,insufficient_funds,2,1.0,2,3,4,0,True,0,1
5152.42,card,insufficient_funds,1,2.4,14,12,5,1,True,0,1
1487.74,card,insufficient_funds,2,1.4,4,10,2,0,False,0,1
3712.67,card,network_timeout,1,1.5,8,11,2,1,False,0,1
4316.78,card,bank_outage,1,0.2,12,21,7,0,False,0,1
662.53,card,authentication_failed,3,3.2,4,9,0,1,False,0,0
1165.63,subscription_mandate,insufficient_funds,2,5.2,24,6,9,2,False,1,0
841.6,card,card_expired,1,0.1,18,11,6,1,False,0,1
1612.0,upi,insufficient_funds,1,3.8,13,18,16,1,True,0,1
2291.55,card,insufficient_funds,1,1.4,10,16,7,2,True,0,1
2567.36,upi,card_expired,2,2.2,25,9,2,0,False,0,1
1388.81,card,bank_outage,2,0.9,17,18,3,1,False,0,1
4430.01,card,card_expired,1,1.6,6,10,3,0,False,0,1
412.58,card,card_expired,1,0.3,31,12,6,1,False,0,0
1606.49,netbanking,insufficient_funds,3,1.8,2,11,6,1,True,1,1
5964.01,upi,card_expired,1,11.7,2,15,18,1,True,1,0
1925.82,subscription_mandate,card_expired,2,0.0,29,10,1,0,False,1,0
5488.36,upi,network_timeout,1,1.8,10,8,0,3,False,0,1
2757.05,card,card_expired,2,0.7,10,7,11,0,True,0,0
741.47,card,card_expired,3,7.0,6,14,10,0,True,0,1
1336.88,card,card_expired,1,0.8,20,23,4,3,False,1,0
5995.84,subscription_mandate,insufficient_funds,1,0.8,17,14,14,1,True,1,0
1913.03,upi,card_expired,1,1.5,26,17,8,1,True,0,0
9950.99,card,insufficient_funds,1,0.1,19,19,4,0,True,0,1
748.52,upi,network_timeout,1,0.2,31,11,11,0,True,1,1
3260.66,card,authentication_failed,1,1.2,18,5,4,0,False,1,1
1327.6,netbanking,insufficient_funds,1,7.0,5,14,4,1,True,0,1
1099.85,card,insufficient_funds,1,0.5,19,6,11,0,True,1,1
1306.92,card,insufficient_funds,1,7.7,1,18,19,0,False,0,1
2698.06,card,high_risk_fraud,2,1.1,14,16,7,0,True,1,0
4055.11,card,card_expired,1,0.9,14,10,30,0,True,0,1
2846.63,upi,insufficient_funds,2,1.0,15,14,4,0,True,0,1
2543.0,subscription_mandate,bank_outage,2,7.5,21,10,8,0,True,1,1
4534.01,upi,network_timeout,1,2.3,22,10,20,0,False,0,1
3838.3,card,insufficient_funds,2,1.8,1,9,12,1,False,0,1
936.01,card,insufficient_funds,1,1.4,25,11,10,2,True,0,0
1154.83,upi,card_expired,1,4.1,10,9,19,2,False,0,1
3535.91,netbanking,card_expired,2,2.9,7,22,6,1,False,0,0
3698.09,upi,authentication_failed,1,0.5,24,16,4,0,True,1,1
1148.26,card,bank_outage,1,2.3,27,19,5,1,False,1,1
3726.84,card,card_expired,3,3.4,25,11,5,0,True,1,0
1357.35,upi,bank_outage,2,2.8,16,11,9,0,False,1,1
2738.54,card,bank_outage,1,4.5,27,18,0,1,False,1,1
4855.47,subscription_mandate,card_expired,1,0.0,28,6,4,1,True,1,0
645.79,upi,authentication_failed,1,6.8,21,19,7,1,True,0,1
2323.27,card,insufficient_funds,1,1.0,25,12,4,0,False,1,1
2654.75,netbanking,insufficient_funds,2,3.5,19,17,23,2,True,0,0
9539.93,card,insufficient_funds,1,0.3,10,19,4,0,False,0,0
1130.81,upi,network_timeout,1,2.7,4,12,7,3,True,0,1
3755.95,netbanking,network_timeout,4,5.2,31,21,7,0,False,0,0
1823.51,upi,authentication_failed,2,0.6,9,17,4,2,True,0,1
2361.68,card,bank_outage,2,2.1,10,8,2,1,False,0,1
4701.49,upi,insufficient_funds,1,0.5,28,18,3,0,False,0,1
2408.53,upi,authentication_failed,1,0.8,4,19,12,0,True,1,1
1773.41,card,insufficient_funds,1,5.1,21,14,15,2,True,1,1
1653.09,card,bank_outage,1,0.8,27,16,7,1,True,1,1
3107.57,subscription_mandate,high_risk_fraud,1,0.5,13,14,7,3,True,1,0
5362.56,upi,network_timeout,4,0.9,21,5,3,1,False,0,0
5686.24,upi,network_timeout,3,10.0,9,17,14,1,True,0,1
7612.74,card,network_timeout,2,2.6,5,14,2,0,False,0,1
4571.8,upi,insufficient_funds,4,1.4,24,10,2,2,False,0,0
837.14,subscription_mandate,insufficient_funds,1,8.3,26,14,1,0,False,1,1
2538.84,card,insufficient_funds,2,3.2,25,12,7,0,True,1,1
11705.84,subscription_mandate,card_expired,2,1.5,11,16,11,0,True,1,0
2152.17,card,insufficient_funds,1,0.1,17,18,4,0,True,0,0
3262.2,upi,authentication_failed,1,0.6,31,22,4,0,True,0,1
8931.24,upi,network_timeout,2,0.9,22,16,1,0,False,1,1
1029.55,card,network_timeout,1,0.7,15,18,4,2,False,0,1
2850.01,upi,network_timeout,1,0.9,15,13,6,2,False,0,1
2949.58,card,network_timeout,3,0.2,17,13,6,2,False,1,1
1554.53,card,card_expired,1,2.8,29,3,9,1,True,0,1
1822.83,upi,network_timeout,1,3.4,9,18,7,1,False,0,1
965.42,upi,insufficient_funds,1,1.2,4,9,2,2,False,0,1
3171.81,card,insufficient_funds,1,14.0,1,18,4,0,True,0,1
1328.86,subscription_mandate,authentication_failed,1,0.2,1,7,10,1,True,1,1
4783.98,card,card_expired,4,2.0,12,12,4,1,True,1,1
925.56,card,card_expired,1,0.3,29,18,4,2,True,0,0
4286.17,netbanking,high_risk_fraud,1,14.0,8,8,17,0,True,1,0
1892.68,card,authentication_failed,1,5.1,12,6,9,1,True,1,1
6319.53,card,authentication_failed,1,4.6,13,16,12,1,True,0,1
1316.79,upi,insufficient_funds,4,3.6,24,3,7,3,True,0,0
1422.94,card,bank_outage,2,0.1,16,7,6,1,False,1,0
1601.73,card,bank_outage,2,5.9,2,11,19,0,True,0,1
4259.72,card,network_timeout,1,0.0,7,11,2,0,False,0,1
1898.45,upi,network_timeout,2,0.3,15,20,3,0,False,1,1
1307.76,subscription_mandate,insufficient_funds,2,3.9,10,13,1,1,False,1,0
1614.67,upi,insufficient_funds,2,4.7,7,18,7,0,False,1,1
2217.08,card,high_risk_fraud,1,0.6,30,19,9,0,True,0,0
12747.87,card,bank_outage,1,0.3,14,11,13,2,True,0,1
3238.83,netbanking,card_expired,1,3.9,21,18,3,1,False,0,1
536.47,upi,card_expired,1,4.9,25,7,7,1,False,0,1
6552.54,card,bank_outage,3,4.3,18,12,1,1,False,0,0
4878.44,card,card_expired,2,1.4,8,20,8,1,True,0,1
2871.08,subscription_mandate,insufficient_funds,2,1.4,10,20,6,0,True,1,0
3540.33,upi,insufficient_funds,1,4.2,9,11,6,0,True,0,1
1499.66,card,card_expired,1,2.6,2,20,14,1,True,0,1
1835.19,upi,insufficient_funds,1,0.1,21,19,4,2,False,1,1
712.83,card,card_expired,1,1.6,9,18,2,0,False,0,0
2910.88,netbanking,card_expired,2,0.8,20,13,13,1,True,1,1
15754.12,netbanking,network_timeout,1,4.9,14,20,9,1,False,1,1
5349.32,upi,authentication_failed,3,6.5,21,18,14,1,True,0,1
1234.37,card,insufficient_funds,1,1.8,3,5,3,1,False,0,1
1219.51,card,insufficient_funds,1,1.0,11,17,8,0,False,0,1
5471.05,upi,network_timeout,2,1.1,26,13,5,1,False,0,1
2127.0,card,network_timeout,1,0.6,1,8,9,1,True,0,1
22059.35,card,card_expired,2,1.2,31,12,17,0,True,0,0
1053.92,card,insufficient_funds,1,2.4,22,11,5,0,False,0,0
2674.84,upi,bank_outage,2,3.5,28,16,8,4,True,0,1
5643.85,upi,insufficient_funds,1,1.4,7,20,7,0,False,0,1
749.92,netbanking,bank_outage,1,1.0,19,17,8,1,True,1,1
5079.1,upi,network_timeout,2,2.0,8,17,2,2,False,0,1
5877.67,upi,insufficient_funds,1,1.8,11,14,7,2,True,0,1
5228.07,card,bank_outage,1,2.1,3,13,5,1,False,0,1
3726.04,card,bank_outage,1,2.7,14,11,5,1,True,1,1
782.44,subscription_mandate,card_expired,1,4.0,29,10,11,0,False,1,1
2182.09,card,card_expired,2,1.0,17,18,4,0,True,0,0
1887.11,netbanking,network_timeout,1,12.5,25,10,1,1,False,0,1
2234.7,card,network_timeout,2,3.2,5,2,8,2,True,0,1
1025.11,upi,insufficient_funds,1,4.6,24,15,8,0,True,0,1
9274.85,upi,insufficient_funds,2,0.5,29,17,6,0,False,1,1
5544.88,card,insufficient_funds,1,1.9,31,15,9,0,True,0,1
4013.4,card,insufficient_funds,1,0.5,23,10,16,0,False,0,1
2911.88,subscription_mandate,authentication_failed,1,1.6,2,19,2,2,False,1,1
3417.17,card,bank_outage,1,0.4,23,19,2,1,False,1,1
3289.41,card,card_expired,1,7.2,13,18,7,0,True,0,1
3536.24,card,card_expired,1,1.1,28,9,0,2,False,0,0
651.48,netbanking,insufficient_funds,3,7.1,1,17,8,1,False,1,1
1801.26,subscription_mandate,insufficient_funds,1,1.9,29,19,4,1,True,1,1
1933.25,upi,insufficient_funds,1,5.4,21,17,4,0,False,1,1
2020.34,netbanking,authentication_failed,4,6.5,13,8,7,2,True,1,1
10150.55,card,high_risk_fraud,2,3.2,16,17,5,1,True,0,0
5638.9,card,card_expired,1,6.2,6,21,1,1,False,1,0
3416.1,card,insufficient_funds,1,1.9,30,22,8,1,False,0,1
519.47,card,insufficient_funds,1,1.3,4,18,4,1,True,1,1
1687.75,upi,high_risk_fraud,1,8.4,21,10,5,1,False,0,0
2233.5,card,bank_outage,1,0.5,3,21,1,1,False,1,1
4904.49,upi,card_expired,1,4.2,31,19,1,1,False,0,1
9277.69,upi,authentication_failed,3,2.2,10,12,7,2,True,1,1
2409.19,netbanking,insufficient_funds,1,3.1,21,12,2,1,False,0,1
7113.44,upi,insufficient_funds,1,1.3,27,16,5,2,False,1,1
7555.85,upi,insufficient_funds,2,4.2,9,1,4,1,True,0,1
4414.97,card,network_timeout,1,1.7,24,20,4,1,True,0,1
681.72,card,card_expired,1,8.6,8,16,3,1,False,0,1
808.52,card,bank_outage,2,2.1,19,11,4,0,False,0,1
3603.22,card,insufficient_funds,2,2.1,18,4,3,2,False,0,0
233.12,upi,high_risk_fraud,1,0.1,26,18,3,1,False,0,0
4215.69,subscription_mandate,card_expired,1,3.0,14,13,1,1,False,1,0
3901.49,card,network_timeout,2,3.3,6,15,6,0,True,0,1
1006.59,card,insufficient_funds,1,0.9,11,8,11,2,True,1,1
4826.5,upi,network_timeout,1,3.6,24,17,9,1,True,0,1
834.73,card,bank_outage,1,2.6,27,15,9,0,True,1,1
789.25,card,insufficient_funds,2,2.4,27,14,11,1,True,0,1
2143.33,card,bank_outage,1,3.8,1,14,3,0,False,1,0
10046.67,card,network_timeout,1,0.6,10,20,7,1,False,1,1
4881.45,card,card_expired,2,0.5,9,9,0,0,False,0,0
2527.39,card,authentication_failed,4,4.4,24,19,9,2,True,1,1
9767.94,card,card_expired,1,4.7,5,8,11,1,True,1,1
6468.92,upi,bank_outage,1,3.0,7,8,4,0,True,0,1
2069.42,upi,insufficient_funds,1,1.5,15,14,2,0,False,0,1
268.81,card,authentication_failed,3,0.9,12,20,0,1,False,0,0
221.28,card,bank_outage,1,0.2,11,12,9,2,False,0,0
1702.49,subscription_mandate,card_expired,1,6.6,31,18,11,1,False,1,0
1563.48,card,bank_outage,1,7.2,22,21,8,0,True,1,1
1249.66,upi,insufficient_funds,4,5.2,18,11,4,0,True,1,0
3242.85,netbanking,authentication_failed,2,0.9,8,17,2,0,False,0,1
7168.51,card,card_expired,4,1.7,1,9,6,0,True,0,0
3375.03,upi,bank_outage,2,1.0,16,11,6,0,False,0,1
1039.17,subscription_mandate,insufficient_funds,1,0.2,26,6,9,1,False,1,1
1024.86,upi,insufficient_funds,1,3.5,8,10,4,0,True,0,1
816.44,upi,bank_outage,1,4.0,31,19,4,1,True,0,1
1580.75,upi,card_expired,1,0.4,1,11,2,0,False,1,0
1159.3,upi,insufficient_funds,1,0.9,15,10,13,0,True,0,1
2430.03,upi,bank_outage,1,1.0,3,13,8,1,True,0,1
2259.75,upi,high_risk_fraud,1,0.7,19,10,6,1,False,1,0
1881.11,netbanking,bank_outage,1,5.1,23,16,8,0,True,0,1
2571.76,upi,card_expired,3,0.5,19,15,3,1,False,0,0
5933.4,netbanking,card_expired,2,4.2,7,11,5,0,True,0,0
6254.54,card,authentication_failed,2,4.7,13,11,7,2,False,0,1
2093.05,subscription_mandate,insufficient_funds,2,4.0,31,21,15,1,True,1,1
2982.62,card,insufficient_funds,1,3.9,24,17,1,0,False,0,0
5686.63,subscription_mandate,bank_outage,1,1.1,25,19,2,0,False,1,0
4135.74,card,authentication_failed,1,5.5,6,12,2,1,False,0,1
13237.09,subscription_mandate,network_timeout,3,5.1,13,10,8,0,False,1,0
3234.68,subscription_mandate,insufficient_funds,1,0.8,5,15,8,1,False,1,1
1808.87,card,network_timeout,1,2.2,2,18,3,3,False,0,0
1778.38,card,card_expired,1,0.5,19,13,5,1,True,1,1
1590.59,subscription_mandate,insufficient_funds,1,2.9,22,20,9,0,False,1,1
2501.05,upi,network_timeout,2,1.0,21,18,3,1,False,0,1
3110.04,card,insufficient_funds,3,3.5,30,16,3,1,False,0,1
2432.74,card,insufficient_funds,3,0.5,19,18,7,0,True,0,1
1265.31,upi,insufficient_funds,1,2.1,21,14,7,0,False,0,1
2434.13,card,authentication_failed,2,0.3,4,17,12,0,True,1,1
913.0,card,card_expired,1,4.4,24,11,22,1,True,0,0
623.88,upi,network_timeout,1,4.5,1,18,5,2,False,1,1
3419.27,upi,card_expired,3,0.4,10,11,8,1,True,0,0
1640.99,subscription_mandate,insufficient_funds,1,0.2,23,11,9,1,True,1,1
2248.1,upi,high_risk_fraud,2,0.9,28,19,9,4,False,0,0
6209.7,upi,insufficient_funds,1,1.5,11,6,1,1,False,0,1
1455.05,card,authentication_failed,4,4.1,8,18,12,0,True,0,0
4114.44,netbanking,insufficient_funds,3,0.2,18,8,7,0,True,0,1
1963.17,card,bank_outage,2,0.5,15,12,12,0,False,0,1
5106.3,upi,high_risk_fraud,1,2.9,23,2,7,1,False,0,0
7781.12,card,insufficient_funds,3,4.8,7,13,4,2,True,0,0
5596.1,upi,network_timeout,1,0.3,3,14,11,0,True,1,1
4989.73,netbanking,insufficient_funds,1,4.8,16,6,7,2,True,1,1
3919.05,upi,high_risk_fraud,1,1.3,12,16,11,2,True,0,0
756.16,card,network_timeout,3,7.7,5,7,10,0,False,0,1
890.76,card,network_timeout,1,2.9,22,1,1,0,False,0,1
5731.25,upi,insufficient_funds,1,1.7,19,7,8,2,False,0,1
16080.59,upi,authentication_failed,1,1.7,8,15,19,0,True,1,1
3028.57,upi,card_expired,1,0.1,16,8,8,1,True,1,1
3864.22,upi,authentication_failed,2,0.3,13,10,2,2,False,1,1
25830.02,upi,insufficient_funds,1,2.6,8,11,4,1,False,0,1
3172.27,upi,insufficient_funds,1,0.6,11,21,10,1,True,0,1
2360.41,card,card_expired,2,0.9,14,0,3,1,False,1,1
159.96,upi,insufficient_funds,1,3.7,6,21,5,1,True,0,1
6033.47,card,network_timeout,1,1.7,15,17,15,1,True,0,1
7681.44,card,insufficient_funds,2,0.6,12,15,6,0,True,0,1
1828.1,subscription_mandate,insufficient_funds,1,0.9,11,23,14,0,False,1,0
3660.72,upi,bank_outage,1,0.4,10,21,14,0,False,0,1
1898.21,card,network_timeout,2,0.2,3,20,16,3,True,0,1
398.76,upi,insufficient_funds,3,4.5,23,14,5,0,True,0,1
3374.93,upi,insufficient_funds,3,1.3,25,17,7,1,False,0,0
1707.07,upi,card_expired,1,2.1,4,11,2,1,False,0,1
639.84,upi,network_timeout,3,2.5,5,10,1,2,False,0,1
753.99,card,insufficient_funds,3,1.2,1,10,0,3,False,1,0
15502.75,upi,bank_outage,1,1.5,7,3,7,0,False,0,1
7354.69,upi,card_expired,5,4.2,15,14,6,1,True,0,0
951.35,subscription_mandate,high_risk_fraud,1,0.2,19,19,5,0,True,1,0
4728.28,upi,bank_outage,1,0.2,24,8,10,4,False,0,1
3458.88,subscription_mandate,bank_outage,1,0.2,18,11,3,1,False,1,1
404.03,upi,card_expired,1,0.3,17,12,4,0,False,0,0
6515.67,card,card_expired,2,0.7,31,17,6,1,False,1,0
2185.66,card,authentication_failed,2,4.2,5,18,1,1,False,1,1
1071.0,card,card_expired,1,1.6,10,14,0,2,False,1,1
2090.71,card,insufficient_funds,2,3.7,18,11,6,3,True,1,1
2119.92,upi,insufficient_funds,1,0.2,6,12,5,0,False,1,0
874.62,upi,insufficient_funds,1,0.6,4,16,8,1,True,0,1
2175.51,upi,insufficient_funds,1,3.2,5,11,3,1,False,0,1
1911.07,upi,network_timeout,1,2.8,7,10,11,0,True,0,1
1699.13,card,bank_outage,2,0.1,28,11,4,3,False,0,1
4694.83,card,insufficient_funds,1,6.7,8,17,8,1,True,0,1
3299.73,card,insufficient_funds,1,3.3,20,7,3,0,False,0,0
884.81,subscription_mandate,bank_outage,2,1.4,20,10,25,1,True,1,1
2948.83,netbanking,insufficient_funds,1,1.1,9,13,6,0,False,0,0
1553.56,card,authentication_failed,1,3.0,23,17,5,1,True,0,1
4252.37,subscription_mandate,insufficient_funds,1,0.0,7,21,0,1,False,1,0
6039.78,subscription_mandate,high_risk_fraud,1,4.7,28,17,1,0,False,1,0
1246.01,subscription_mandate,network_timeout,1,2.2,8,11,17,2,True,1,1
627.98,upi,insufficient_funds,1,1.5,14,3,11,0,True,0,1
5429.28,upi,card_expired,1,0.1,27,10,3,0,False,0,1
2607.05,card,card_expired,2,2.6,17,14,0,1,False,0,0
